node_index,x,y,z
76,0.1578947,0.8421053,0
77,0.1578947,0.8947365,0
78,0.1578949,0.9473476,0
79,0.157896,0.9998158,0
80,0.2105266,0.0001853519,0
81,0.2105264,0.05265256,0
82,0.2105263,0.1052635,0
83,0.2105263,0.1578947,0
84,0.2105263,0.2105263,0
85,0.2105263,0.2631579,0
86,0.2105263,0.3157895,0
87,0.2105263,0.368421,0
88,0.2105263,0.4210526,0
89,0.2105263,0.4736842,0
90,0.2105263,0.5263158,0
91,0.2105263,0.5789474,0
92,0.2105263,0.6315789,0
93,0.2105263,0.6842105,0
94,0.2105263,0.7368421,0
95,0.2105263,0.7894737,0
96,0.2105263,0.8421053,0
97,0.2105263,0.8947365,0
98,0.2105264,0.9473475,0
99,0.2105266,0.9998146,0
100,0.263158,0.0001856505,0
101,0.2631579,0.05265261,0
102,0.2631579,0.1052635,0
103,0.2631579,0.1578947,0
104,0.2631579,0.2105263,0
105,0.2631579,0.2631579,0
106,0.2631579,0.3157895,0
107,0.2631579,0.368421,0
108,0.2631579,0.4210526,0
109,0.2631579,0.4736842,0
110,0.2631579,0.5263158,0
111,0.2631579,0.5789474,0
112,0.2631579,0.6315789,0
113,0.2631579,0.6842105,0
114,0.2631579,0.7368421,0
115,0.2631579,0.7894737,0
116,0.2631579,0.8421053,0
117,0.2631579,0.8947365,0
118,0.2631579,0.9473474,0
119,0.263158,0.9998143,0
120,0.3157895,0.0001858478,0
121,0.3157895,0.05265263,0
122,0.3157895,0.1052635,0
123,0.3157895,0.1578947,0
124,0.3157895,0.2105263,0
125,0.3157895,0.2631579,0
126,0.3157895,0.3157895,0
127,0.3157895,0.368421,0
128,0.3157895,0.4210526,0
129,0.3157895,0.4736842,0
130,0.3157895,0.5263158,0
131,0.3157895,0.5789474,0
132,0.3157895,0.6315789,0
133,0.3157895,0.6842105,0
134,0.3157895,0.7368421,0
135,0.3157895,0.7894737,0
136,0.3157895,0.8421053,0
137,0.3157895,0.8947365,0
138,0.3157895,0.9473474,0
139,0.3157895,0.9998142,0
140,0.368421,0.0001859137,0
141,0.368421,0.05265264,0
142,0.368421,0.1052635,0
143,0.368421,0.1578947,0
144,0.368421,0.2105263,0
145,0.368421,0.2631579,0
146,0.368421,0.3157895,0
147,0.368421,0.368421,0
148,0.368421,0.4210526,0
149,0.368421,0.4736842,0
150,0.368421,0.5263158,0
151,0.368421,0.5789474,0
152,0.368421,0.6315789,0
153,0.368421,0.6842105,0
154,0.368421,0.7368421,0
155,0.368421,0.7894737,0
156,0.368421,0.8421053,0
157,0.368421,0.8947365,0
158,0.368421,0.9473474,0
159,0.368421,0.9998141,0
160,0.4210526,0.0001859396,0
161,0.4210526,0.05265264,0
162,0.4210526,0.1052635,0
163,0.4210526,0.1578947,0
164,0.4210526,0.2105263,0
165,0.4210526,0.2631579,0
166,0.4210526,0.3157895,0
167,0.4210526,0.368421,0
168,0.4210526,0.4210526,0
169,0.4210526,0.4736842,0
170,0.4210526,0.5263158,0
171,0.4210526,0.5789474,0
172,0.4210526,0.6315789,0
173,0.4210526,0.6842105,0
174,0.4210526,0.7368421,0
175,0.4210526,0.7894737,0
176,0.4210526,0.8421053,0
177,0.4210526,0.8947365,0
178,0.4210526,0.9473474,0
179,0.4210526,0.999814,0
180,0.4736842,0.0001859468,0
181,0.4736842,0.05265264,0
182,0.4736842,0.1052635,0
183,0.4736842,0.1578947,0
184,0.4736842,0.2105263,0
185,0.4736842,0.2631579,0
186,0.4736842,0.3157895,0
187,0.4736842,0.368421,0
188,0.4736842,0.4210526,0
189,0.4736842,0.4736842,0
190,0.4736842,0.5263158,0
191,0.4736842,0.5789474,0
192,0.4736842,0.6315789,0
193,0.4736842,0.6842105,0
194,0.4736842,0.7368421,0
195,0.4736842,0.7894737,0
196,0.4736842,0.8421053,0
197,0.4736842,0.8947365,0
198,0.4736842,0.9473473,0
199,0.4736842,0.999814,0
200,0.5263158,0.0001859467,0
201,0.5263158,0.05265264,0
202,0.5263158,0.1052635,0
203,0.5263158,0.1578947,0
204,0.5263158,0.2105263,0
205,0.5263158,0.2631579,0
206,0.5263158,0.3157895,0
207,0.5263158,0.368421,0
208,0.5263158,0.4210526,0
209,0.5263158,0.4736842,0
210,0.5263158,0.5263158,0
211,0.5263158,0.5789474,0
212,0.5263158,0.6315789,0
213,0.5263158,0.6842105,0
214,0.5263158,0.7368421,0
215,0.5263158,0.7894737,0
216,0.5263158,0.8421053,0
217,0.5263158,0.8947365,0
218,0.5263158,0.9473473,0
219,0.5263158,0.999814,0
220,0.5789474,0.0001859395,0
221,0.5789474,0.05265264,0
222,0.5789474,0.1052635,0
223,0.5789474,0.1578947,0
224,0.5789474,0.2105263,0
225,0.5789474,0.2631579,0
226,0.5789474,0.3157895,0
227,0.5789474,0.368421,0
228,0.5789474,0.4210526,0
229,0.5789474,0.4736842,0
230,0.5789474,0.5263158,0
231,0.5789474,0.5789474,0
232,0.5789474,0.6315789,0
233,0.5789474,0.6842105,0
234,0.5789474,0.7368421,0
235,0.5789474,0.7894737,0
236,0.5789474,0.8421053,0
237,0.5789474,0.8947365,0
238,0.5789474,0.9473474,0
239,0.5789474,0.999814,0
240,0.6315789,0.0001859137,0
241,0.6315789,0.05265264,0
242,0.6315789,0.1052635,0
243,0.6315789,0.1578947,0
244,0.6315789,0.2105263,0
245,0.6315789,0.2631579,0
246,0.6315789,0.3157895,0
247,0.6315789,0.368421,0
248,0.6315789,0.4210526,0
249,0.6315789,0.4736842,0
250,0.6315789,0.5263158,0
251,0.6315789,0.5789474,0
252,0.6315789,0.6315789,0
253,0.6315789,0.6842105,0
254,0.6315789,0.7368421,0
255,0.6315789,0.7894737,0
256,0.6315789,0.8421053,0
257,0.6315789,0.8947365,0
258,0.6315789,0.9473474,0
259,0.6315789,0.9998141,0
260,0.6842105,0.0001858479,0
261,0.6842105,0.05265263,0
262,0.6842105,0.1052635,0
263,0.6842105,0.1578947,0
264,0.6842105,0.2105263,0
265,0.6842105,0.2631579,0
266,0.6842105,0.3157895,0
267,0.6842105,0.368421,0
268,0.6842105,0.4210526,0
269,0.6842105,0.4736842,0
270,0.6842105,0.5263158,0
271,0.6842105,0.5789474,0
272,0.6842105,0.6315789,0
273,0.6842105,0.6842105,0
274,0.6842105,0.7368421,0
275,0.6842105,0.7894737,0
276,0.6842105,0.8421053,0
277,0.6842105,0.8947365,0
