node_index,x,y,z
353,0.56,0.595,0
354,0.56,0.63,0
355,0.56,0.665,0
356,0.56,0.7,0
357,0.595,0,0
358,0.595,0.035,0
359,0.595,0.07,0
360,0.595,0.105,0
361,0.595,0.14,0
362,0.595,0.175,0
363,0.595,0.21,0
364,0.595,0.245,0
365,0.595,0.28,0
366,0.595,0.315,0
367,0.595,0.35,0
368,0.595,0.385,0
369,0.595,0.42,0
370,0.595,0.455,0
371,0.595,0.49,0
372,0.595,0.525,0
373,0.595,0.56,0
374,0.595,0.595,0
375,0.595,0.63,0
376,0.595,0.665,0
377,0.595,0.7,0
378,0.63,0,0
379,0.63,0.035,0
380,0.63,0.07,0
381,0.63,0.105,0
382,0.63,0.14,0
383,0.63,0.175,0
384,0.63,0.21,0
385,0.63,0.245,0
386,0.63,0.28,0
387,0.63,0.315,0
388,0.63,0.35,0
389,0.63,0.385,0
390,0.63,0.42,0
391,0.63,0.455,0
392,0.63,0.49,0
393,0.63,0.525,0
394,0.63,0.56,0
395,0.63,0.595,0
396,0.63,0.63,0
397,0.63,0.665,0
398,0.63,0.7,0
399,0.665,0,0
400,0.6649999,0.03500006,0
401,0.665,0.07,0
402,0.665,0.105,0
403,0.665,0.14,0
404,0.665,0.175,0
405,0.665,0.21,0
406,0.665,0.245,0
407,0.665,0.28,0
408,0.665,0.315,0
409,0.665,0.35,0
410,0.665,0.385,0
411,0.665,0.42,0
412,0.665,0.455,0
413,0.665,0.49,0
414,0.665,0.525,0
415,0.665,0.56,0
416,0.665,0.595,0
417,0.665,0.63,0
418,0.6649999,0.6649999,0
419,0.665,0.7,0
420,0.6999959,4.111896E-06,0
421,0.7,0.035,0
422,0.7,0.07,0
423,0.7,0.105,0
424,0.7,0.14,0
425,0.7,0.175,0
426,0.7,0.21,0
427,0.7,0.245,0
428,0.7,0.28,0
429,0.7,0.315,0
430,0.7,0.35,0
431,0.7,0.385,0
432,0.7,0.42,0
433,0.7,0.455,0
434,0.7,0.49,0
435,0.7,0.525,0
436,0.7,0.56,0
437,0.7,0.595,0
438,0.7,0.63,0
439,0.7,0.665,0
440,0.6999959,0.6999959,0
